,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M
2010-01-01,26.82,16.57,9.81,82.4
2010-01-02,24.18,17.39,9.0,86.73
2010-01-03,25.71,16.71,2.0,81.4
2010-01-04,24.33,15.29,7.91,81.25
2010-01-05,26.36,14.22,3.07,72.68
2010-01-06,27.44,15.28,4.75,72.76
2010-01-07,27.17,16.09,1.77,74.75
2010-01-08,27.38,15.96,0.61,74.47
2010-01-09,25.58,16.4,4.79,78.91
2010-01-10,25.71,15.37,5.79,72.49
2010-01-11,26.13,15.02,0.85,68.22
2010-01-12,26.36,13.91,0.03,60.27
2010-01-13,25.94,12.65,0.02,61.47
2010-01-14,26.3,12.53,0.07,66.01
2010-01-15,27.56,14.4,0.06,69.68
2010-01-16,27.81,15.05,0.47,70.37
2010-01-17,27.26,14.9,0.32,71.08
2010-01-18,27.95,15.22,0.41,64.89
2010-01-19,28.0,14.45,0.35,71.3
2010-01-20,28.17,15.14,0.34,70.37
2010-01-21,28.81,15.04,0.25,65.53
2010-01-22,29.54,15.34,0.34,64.28
2010-01-23,28.62,15.77,0.25,66.96
2010-01-24,29.05,15.15,0.29,64.54
2010-01-25,28.27,14.8,0.24,65.12
2010-01-26,29.65,12.98,0.01,54.81
2010-01-27,29.22,13.21,0.0,59.09
2010-01-28,29.15,13.85,0.0,61.02
2010-01-29,28.14,15.83,0.01,66.23
2010-01-30,28.96,15.52,0.0,61.28
2010-01-31,28.4,15.51,1.54,66.38
2010-02-01,29.4,16.23,1.08,63.12
2010-02-02,31.24,14.28,0.09,59.28
2010-02-03,30.42,16.14,0.45,62.45
2010-02-04,30.76,15.44,2.08,62.47
2010-02-05,26.51,16.33,0.9,70.6
2010-02-06,26.03,17.55,2.75,71.99
2010-02-07,28.21,15.53,3.05,70.53
2010-02-08,29.12,16.13,0.73,65.84
2010-02-09,28.63,15.1,0.38,64.03
2010-02-10,29.7,12.92,0.37,59.53
2010-02-11,29.87,14.54,0.63,60.59
2010-02-12,28.7,16.55,4.06,70.56
2010-02-13,27.83,15.97,4.28,75.06
2010-02-14,28.38,16.54,3.23,74.06
2010-02-15,29.16,16.18,1.63,69.11
2010-02-16,29.43,15.63,0.94,68.26
2010-02-17,27.76,17.32,7.44,72.62
2010-02-18,27.45,16.97,6.17,72.88
2010-02-19,26.96,17.63,7.01,75.99
2010-02-20,26.39,17.3,9.48,79.85
2010-02-21,25.45,17.14,4.47,81.11
2010-02-22,25.23,16.88,2.97,77.21
2010-02-23,28.21,16.47,1.81,70.97
2010-02-24,29.31,15.86,0.61,68.65
2010-02-25,30.23,15.75,1.3,66.99
2010-02-26,29.66,15.85,3.99,72.14
2010-02-27,29.16,17.13,3.24,74.94
2010-02-28,28.68,17.0,10.75,76.21
2010-03-01,25.35,16.94,4.42,78.32
2010-03-02,28.73,16.49,1.0,67.33
2010-03-03,27.59,17.49,7.41,77.52
2010-03-04,29.48,16.85,3.51,68.65
2010-03-05,29.77,17.49,1.47,67.74
2010-03-06,27.61,16.9,3.3,76.52
2010-03-07,26.13,17.67,8.97,83.31
2010-03-08,22.68,17.3,4.91,89.58
2010-03-09,27.1,16.31,2.77,81.92
2010-03-10,27.34,16.92,2.26,78.42
2010-03-11,28.56,15.46,1.55,72.1
2010-03-12,28.65,15.35,0.66,69.06
2010-03-13,28.83,15.39,0.73,71.23
2010-03-14,28.95,15.74,1.88,70.38
2010-03-15,28.54,15.64,1.81,71.28
2010-03-16,27.52,17.23,3.17,77.07
2010-03-17,28.97,15.61,1.78,66.59
2010-03-18,30.11,15.81,1.43,63.3
2010-03-19,29.44,16.98,3.94,70.76
2010-03-20,27.91,17.09,13.78,78.64
2010-03-21,27.34,16.71,22.23,81.16
2010-03-22,27.42,16.61,8.13,78.72
2010-03-23,27.27,16.63,7.41,81.6
2010-03-24,26.66,17.0,10.42,83.03
2010-03-25,26.18,16.91,5.23,82.93
2010-03-26,26.9,17.54,4.03,82.66
2010-03-27,28.1,17.22,4.13,78.45
2010-03-28,27.35,17.25,2.03,79.48
2010-03-29,26.83,17.8,3.34,82.3
2010-03-30,28.48,17.19,2.85,76.18
2010-03-31,28.03,17.17,5.26,78.49
2010-04-01,27.42,16.57,6.98,80.87
2010-04-02,26.32,17.69,12.03,83.86
2010-04-03,25.9,16.92,8.51,84.21
2010-04-04,25.24,16.78,5.19,85.72
2010-04-05,26.1,16.38,6.97,83.72
2010-04-06,27.43,15.92,1.17,78.09
2010-04-07,28.11,16.06,3.38,77.39
2010-04-08,27.27,16.74,4.45,81.32
2010-04-09,27.04,16.65,1.4,78.87
2010-04-10,29.08,14.45,1.18,72.63
2010-04-11,29.78,16.19,1.46,74.96
2010-04-12,29.84,17.43,1.16,76.73
2010-04-13,28.5,16.76,1.57,75.75
2010-04-14,28.61,16.88,8.2,79.84
2010-04-15,25.67,17.24,10.61,82.79
2010-04-16,27.37,16.76,6.77,77.67
2010-04-17,27.26,16.88,4.99,81.25
2010-04-18,27.41,16.96,4.5,81.38
2010-04-19,26.99,17.34,2.28,82.68
2010-04-20,27.18,17.69,1.33,80.62
2010-04-21,28.93,16.88,0.72,76.28
2010-04-22,28.81,17.09,1.5,78.21
2010-04-23,28.5,16.79,7.6,75.95
2010-04-24,28.18,16.2,3.9,73.72
2010-04-25,28.31,16.52,3.09,76.78
2010-04-26,28.22,17.43,5.79,77.77
2010-04-27,26.52,15.95,4.81,82.08
2010-04-28,26.9,16.35,5.3,82.83
2010-04-29,26.88,17.43,5.2,83.01
2010-04-30,26.69,17.76,7.47,83.94
2010-05-01,26.8,16.59,11.73,81.84
2010-05-02,26.5,15.98,6.95,80.71
2010-05-03,26.43,16.55,7.25,82.48
2010-05-04,26.24,15.72,11.27,84.39
2010-05-05,25.92,16.84,2.83,81.92
2010-05-06,26.4,16.91,0.74,77.67
2010-05-07,25.1,15.98,0.64,77.81
2010-05-08,27.65,15.3,0.14,71.17
2010-05-09,27.4,15.84,1.77,77.25
2010-05-10,27.09,16.18,1.84,78.06
2010-05-11,24.22,16.83,20.31,86.17
2010-05-12,24.48,16.64,19.26,86.21
2010-05-13,25.65,16.53,7.22,84.08
2010-05-14,25.18,16.25,4.42,85.33
2010-05-15,25.43,15.54,1.99,81.85
2010-05-16,26.83,15.4,0.62,76.02
2010-05-17,27.13,15.66,3.6,80.85
2010-05-18,27.33,15.86,5.06,81.77
2010-05-19,27.48,15.68,2.6,81.13
2010-05-20,27.25,16.26,0.62,78.27
2010-05-21,27.05,14.57,0.73,77.98
2010-05-22,27.65,14.58,0.62,77.49
2010-05-23,27.44,16.28,1.47,78.98
2010-05-24,27.27,15.68,1.49,77.33
2010-05-25,27.28,16.19,0.62,77.01
2010-05-26,27.27,15.91,1.07,75.67
2010-05-27,26.4,15.02,3.4,79.27
2010-05-28,26.75,15.78,3.54,80.87
2010-05-29,27.31,15.89,1.17,76.13
2010-05-30,26.75,15.08,1.05,73.65
2010-05-31,26.5,14.37,0.21,72.62
2010-06-01,27.0,14.37,0.28,72.18
2010-06-02,27.72,14.32,2.03,72.43
2010-06-03,26.62,15.91,2.27,78.8
2010-06-04,26.68,16.28,2.57,79.0
2010-06-05,26.42,15.19,1.48,77.2
2010-06-06,24.75,15.23,1.9,78.9
2010-06-07,26.9,14.56,0.89,72.17
2010-06-08,26.57,13.5,0.3,72.23
2010-06-09,26.46,14.22,1.39,79.86
2010-06-10,26.94,15.73,0.13,73.04
2010-06-11,26.9,15.08,0.57,75.96
2010-06-12,26.87,14.47,1.39,71.76
2010-06-13,24.8,15.42,2.36,79.76
2010-06-14,26.46,15.23,2.35,78.37
2010-06-15,26.81,15.0,2.35,78.7
2010-06-16,24.88,15.87,3.45,83.01
2010-06-17,24.02,15.69,1.74,80.57
2010-06-18,25.53,14.33,0.27,71.37
2010-06-19,26.07,14.83,0.88,76.75
2010-06-20,26.82,14.54,0.38,73.24
2010-06-21,25.2,14.48,0.28,73.32
2010-06-22,25.25,13.93,1.18,74.64
2010-06-23,25.9,12.82,0.39,71.92
2010-06-24,25.7,14.31,0.81,73.02
2010-06-25,26.84,13.04,0.15,69.13
2010-06-26,26.5,14.41,1.22,76.65
2010-06-27,26.89,13.64,1.94,72.47
2010-06-28,26.66,13.52,0.07,67.59
2010-06-29,26.43,13.17,0.42,71.61
2010-06-30,26.75,13.6,0.72,68.85
2010-07-01,26.47,13.2,2.14,71.43
2010-07-02,25.96,14.97,1.36,75.36
2010-07-03,26.54,13.59,2.79,71.05
2010-07-04,24.01,12.8,1.06,68.19
2010-07-05,26.59,12.28,0.12,68.2
2010-07-06,25.43,13.21,0.15,70.19
2010-07-07,25.07,13.58,0.26,72.85
2010-07-08,24.52,13.2,0.37,71.74
2010-07-09,25.25,11.82,0.3,67.79
2010-07-10,27.26,12.64,0.0,67.5
2010-07-11,27.43,13.5,0.0,67.05
2010-07-12,26.82,13.92,0.0,70.54
2010-07-13,27.25,14.11,0.0,67.95
2010-07-14,27.02,12.71,0.0,65.33
2010-07-15,24.18,12.51,0.92,69.27
2010-07-16,26.42,12.87,0.36,70.67
2010-07-17,26.68,13.86,0.71,70.66
2010-07-18,26.76,14.04,2.1,72.16
2010-07-19,25.68,13.89,1.59,73.52
2010-07-20,26.89,13.21,0.11,68.06
2010-07-21,24.5,13.82,2.39,74.18
2010-07-22,24.85,13.97,0.61,71.44
2010-07-23,27.13,13.79,0.24,68.83
2010-07-24,24.23,14.31,4.62,72.97
2010-07-25,21.56,13.74,5.81,78.85
2010-07-26,24.7,13.8,4.99,77.09
2010-07-27,25.2,13.59,1.95,73.78
2010-07-28,24.19,13.15,2.93,73.77
2010-07-29,25.25,13.68,1.56,71.38
2010-07-30,25.0,13.78,5.98,75.76
2010-07-31,24.15,13.5,4.08,76.8
2010-08-01,24.33,12.91,3.44,74.46
2010-08-02,25.9,12.69,0.67,70.48
2010-08-03,25.93,13.16,1.07,72.72
2010-08-04,27.0,13.68,0.14,69.58
2010-08-05,27.55,12.95,0.01,66.56
2010-08-06,26.8,14.51,0.03,69.71
2010-08-07,26.94,13.74,0.02,69.96
2010-08-08,26.32,14.02,0.1,68.12
2010-08-09,25.07,13.32,0.98,67.32
2010-08-10,26.05,13.87,2.0,73.02
2010-08-11,26.71,13.56,0.56,67.2
2010-08-12,26.49,12.35,0.36,67.61
2010-08-13,26.92,12.62,0.37,66.58
2010-08-14,27.23,13.08,0.41,63.4
2010-08-15,25.96,13.05,2.32,66.92
2010-08-16,26.67,12.7,3.04,66.78
2010-08-17,26.31,12.67,1.45,65.0
2010-08-18,27.5,12.17,0.72,60.27
2010-08-19,26.56,12.73,0.4,61.68
2010-08-20,27.09,12.74,6.54,70.89
2010-08-21,23.93,15.16,8.07,78.18
2010-08-22,24.96,13.55,4.71,74.96
2010-08-23,26.16,13.71,7.76,75.74
2010-08-24,25.39,14.6,7.53,77.13
2010-08-25,22.77,14.82,7.71,79.43
2010-08-26,24.4,14.13,2.41,74.49
2010-08-27,24.22,14.1,2.1,77.42
2010-08-28,24.82,14.01,5.96,76.96
2010-08-29,24.1,14.04,2.54,77.3
2010-08-30,25.28,14.59,0.88,72.54
2010-08-31,24.48,13.16,0.58,69.85
2010-09-01,23.2,13.96,1.21,72.79
2010-09-02,25.62,13.3,0.65,72.78
2010-09-03,27.12,13.98,1.66,69.37
2010-09-04,27.86,15.05,6.76,73.67
2010-09-05,28.95,14.76,2.21,63.85
2010-09-06,28.28,13.0,0.35,60.84
2010-09-07,28.9,12.51,0.26,63.42
2010-09-08,28.03,13.67,1.71,67.4
2010-09-09,27.81,14.99,1.35,68.4
2010-09-10,27.4,15.26,1.25,67.35
2010-09-11,28.33,14.29,0.35,64.67
2010-09-12,27.63,14.51,0.15,64.39
2010-09-13,28.2,13.21,0.44,61.97
2010-09-14,27.14,13.39,2.98,70.35
2010-09-15,27.51,13.34,2.54,67.7
2010-09-16,27.83,14.48,3.27,70.07
2010-09-17,28.26,13.9,2.2,68.81
2010-09-18,27.43,14.54,6.19,69.67
2010-09-19,27.05,14.37,8.31,70.35
2010-09-20,24.78,14.34,11.95,73.15
2010-09-21,27.84,13.47,7.71,65.86
2010-09-22,27.38,13.6,0.6,68.66
2010-09-23,26.94,12.79,0.43,65.49
2010-09-24,27.07,11.9,0.04,59.75
2010-09-25,26.43,12.83,0.86,67.64
2010-09-26,27.79,14.42,2.02,69.76
2010-09-27,28.64,14.79,6.11,70.61
2010-09-28,28.33,13.93,0.55,63.46
2010-09-29,26.73,12.87,0.41,66.88
2010-09-30,27.68,13.03,0.53,66.22
2010-10-01,27.64,13.48,1.77,68.29
2010-10-02,28.82,13.85,2.77,67.22
2010-10-03,27.77,14.79,4.32,70.56
2010-10-04,27.51,15.25,9.32,74.0
2010-10-05,27.13,14.88,5.3,73.35
2010-10-06,27.43,14.49,4.44,70.83
2010-10-07,28.25,14.3,2.56,65.15
2010-10-08,28.42,13.8,0.01,61.58
2010-10-09,27.98,14.7,0.02,67.24
2010-10-10,29.89,15.16,0.08,63.08
2010-10-11,29.98,16.63,0.03,59.41
2010-10-12,29.6,15.84,0.01,58.33
2010-10-13,30.03,14.89,0.44,61.01
2010-10-14,29.79,15.73,1.34,65.09
2010-10-15,28.48,14.86,0.94,64.84
2010-10-16,29.14,15.79,1.41,65.41
2010-10-17,28.94,15.9,4.24,67.61
2010-10-18,27.39,15.22,4.29,69.33
2010-10-19,27.57,14.95,3.84,64.5
2010-10-20,28.12,13.86,1.61,60.31
2010-10-21,26.13,15.7,2.13,68.33
2010-10-22,27.52,15.37,2.97,73.17
2010-10-23,27.43,15.32,7.02,74.63
2010-10-24,27.41,16.07,5.61,75.94
2010-10-25,27.23,15.82,5.7,78.09
2010-10-26,27.11,16.2,3.99,77.32
2010-10-27,27.6,15.89,1.8,74.27
2010-10-28,28.55,15.08,2.69,72.7
2010-10-29,28.4,15.15,1.22,68.17
2010-10-30,29.5,14.81,1.52,64.33
2010-10-31,28.65,15.45,4.53,69.97
2010-11-01,27.53,16.06,9.59,76.99
2010-11-02,26.91,16.26,7.06,80.71
2010-11-03,26.58,16.9,3.99,79.37
2010-11-04,26.07,16.6,3.67,79.97
2010-11-05,25.34,16.48,8.05,83.38
2010-11-06,26.34,16.52,3.75,81.03
2010-11-07,26.48,16.22,3.88,79.98
2010-11-08,27.2,16.06,7.35,78.34
2010-11-09,25.06,16.93,6.84,83.42
2010-11-10,26.42,16.26,5.4,80.47
2010-11-11,25.51,15.62,6.98,81.83
2010-11-12,25.49,15.11,5.68,81.69
2010-11-13,26.36,15.83,1.89,80.68
2010-11-14,25.88,16.35,2.41,79.19
2010-11-15,26.28,15.93,3.44,78.13
2010-11-16,25.93,15.63,0.81,76.88
2010-11-17,26.89,14.76,0.94,75.62
2010-11-18,27.1,15.43,2.52,76.83
2010-11-19,27.0,15.6,0.64,75.45
2010-11-20,28.38,14.82,0.16,71.28
2010-11-21,27.97,16.22,1.01,72.53
2010-11-22,28.54,15.03,1.63,72.99
2010-11-23,28.48,16.55,1.16,70.75
2010-11-24,28.19,16.37,0.96,71.64
2010-11-25,26.06,16.28,3.44,77.99
2010-11-26,25.49,15.93,2.27,77.18
2010-11-27,26.83,14.99,0.64,74.09
2010-11-28,27.08,15.54,1.12,74.7
2010-11-29,27.77,15.66,1.53,72.92
2010-11-30,26.73,15.2,2.74,75.52
2010-12-01,27.23,15.7,1.37,71.24
2010-12-02,27.81,15.15,0.48,66.67
2010-12-03,27.67,15.41,0.51,68.43
2010-12-04,28.87,15.21,1.19,65.52
2010-12-05,29.35,15.81,2.99,64.14
2010-12-06,29.16,17.14,6.29,68.6
2010-12-07,26.09,16.83,6.56,76.03
2010-12-08,26.02,15.8,5.33,78.19
2010-12-09,26.28,15.53,5.02,77.68
2010-12-10,26.51,15.76,3.25,77.3
2010-12-11,25.89,15.68,3.42,81.24
2010-12-12,26.65,15.63,0.36,76.12
2010-12-13,26.92,15.27,0.08,71.11
2010-12-14,26.94,14.52,0.09,69.24
2010-12-15,26.76,14.16,0.09,68.22
2010-12-16,27.66,14.55,0.05,61.95
2010-12-17,28.2,13.82,0.08,58.94
2010-12-18,27.81,13.4,0.05,60.61
2010-12-19,28.38,13.41,0.03,57.72
2010-12-20,28.16,13.73,0.04,58.65
2010-12-21,28.19,12.48,0.06,58.19
2010-12-22,27.98,13.8,0.61,61.87
2010-12-23,28.79,14.27,0.21,59.81
2010-12-24,28.88,15.55,0.66,61.68
2010-12-25,28.5,16.29,1.1,66.41
2010-12-26,28.85,15.88,1.42,66.18
2010-12-27,26.69,15.87,3.89,76.22
2010-12-28,26.26,16.34,2.6,77.62
2010-12-29,27.28,15.4,1.75,73.41
2010-12-30,26.33,14.93,2.63,73.89
2010-12-31,26.63,15.37,1.16,75.42
2011-01-01,27.2,15.39,0.14,71.71
2011-01-02,27.55,14.76,0.14,68.33
2011-01-03,27.56,14.13,0.12,63.76
2011-01-04,28.47,14.08,0.22,61.47
2011-01-05,28.31,15.16,0.43,61.05
2011-01-06,29.78,14.79,0.31,55.74
2011-01-07,29.72,14.25,0.01,54.63
2011-01-08,29.12,12.92,0.02,49.98
2011-01-09,29.31,15.06,0.08,56.27
2011-01-10,28.89,15.97,1.25,60.85
2011-01-11,29.38,15.6,1.27,62.16
2011-01-12,28.56,15.65,1.15,64.42
2011-01-13,28.02,15.66,0.9,65.5
2011-01-14,28.71,15.13,1.11,64.68
2011-01-15,28.56,13.73,0.1,56.87
2011-01-16,29.57,15.81,0.35,53.96
2011-01-17,29.65,15.89,0.14,55.27
2011-01-18,28.68,15.63,0.12,60.66
2011-01-19,29.29,14.43,0.04,54.72
2011-01-20,29.87,14.7,0.01,49.79
2011-01-21,29.65,14.35,0.3,54.52
2011-01-22,27.88,14.66,1.25,62.53
2011-01-23,27.29,15.55,2.38,70.21
2011-01-24,26.51,15.69,3.18,73.1
2011-01-25,28.36,12.22,0.06,53.45
2011-01-26,29.3,12.59,0.0,44.03
2011-01-27,28.31,12.74,0.0,48.82
2011-01-28,28.9,13.58,0.0,57.75
2011-01-29,30.26,15.21,0.0,56.37
2011-01-30,31.53,16.79,0.0,51.22
2011-01-31,28.7,17.26,0.2,59.73
2011-02-01,29.26,16.14,0.24,60.35
2011-02-02,31.06,15.57,0.08,52.95
2011-02-03,30.95,16.11,0.04,52.46
2011-02-04,29.29,15.56,0.06,55.22
2011-02-05,29.43,13.59,0.0,46.24
2011-02-06,31.16,13.3,0.0,37.31
2011-02-07,31.94,13.03,0.0,29.74
2011-02-08,32.22,13.85,0.0,29.83
2011-02-09,31.18,15.07,0.0,32.83
2011-02-10,32.73,16.24,0.16,37.46
2011-02-11,33.14,16.26,0.26,37.4
2011-02-12,33.63,16.69,1.03,36.58
2011-02-13,33.46,17.23,0.52,44.24
2011-02-14,27.78,18.03,1.54,68.04
2011-02-15,27.8,17.16,13.62,74.96
2011-02-16,27.87,16.87,5.37,75.37
2011-02-17,29.57,16.6,3.11,68.86
2011-02-18,30.38,16.88,2.12,67.5
2011-02-19,29.23,15.99,3.26,63.72
2011-02-20,29.03,13.37,0.0,58.44
2011-02-21,30.06,14.97,0.05,56.7
2011-02-22,30.47,15.13,0.07,57.62
2011-02-23,29.11,15.38,0.11,62.79
2011-02-24,29.15,15.67,0.06,61.04
2011-02-25,30.03,14.52,0.19,55.53
2011-02-26,31.28,14.47,0.11,47.6
2011-02-27,30.74,14.63,0.08,51.66
2011-02-28,30.34,14.91,0.0,54.36
2011-03-01,30.71,15.67,0.03,56.46
2011-03-02,31.63,16.04,0.0,52.07
2011-03-03,31.7,16.66,0.0,52.11
2011-03-04,30.83,16.39,0.1,53.56
2011-03-05,31.9,15.84,0.2,48.71
2011-03-06,31.54,16.36,0.52,47.25
2011-03-07,30.86,16.52,0.55,54.71
2011-03-08,29.79,15.05,0.03,51.55
2011-03-09,29.32,14.69,0.01,50.75
2011-03-10,30.55,14.53,0.0,48.75
2011-03-11,31.22,14.8,0.04,49.0
2011-03-12,31.91,16.3,0.91,49.49
2011-03-13,31.2,16.78,1.23,55.89
2011-03-14,30.98,16.92,0.67,58.51
2011-03-15,29.96,17.14,0.47,58.6
2011-03-16,30.26,17.02,2.39,57.63
2011-03-17,28.49,17.02,7.99,68.72
2011-03-18,28.41,16.48,12.26,72.3
2011-03-19,28.7,15.84,17.05,73.71
2011-03-20,27.94,17.23,12.75,72.84
2011-03-21,28.07,16.06,4.53,72.79
2011-03-22,29.64,16.49,1.32,67.48
2011-03-23,29.95,17.0,1.36,65.28
2011-03-24,29.55,16.74,1.21,64.88
2011-03-25,30.56,16.31,0.72,63.04
2011-03-26,29.09,16.83,0.83,71.36
2011-03-27,29.25,16.81,1.98,71.13
2011-03-28,30.93,16.76,1.27,65.36
2011-03-29,29.31,16.65,3.53,69.9
2011-03-30,30.75,17.01,5.65,68.51
2011-03-31,29.66,16.91,1.7,68.64
2011-04-01,29.55,16.58,2.75,68.91
2011-04-02,29.89,15.87,2.02,68.07
2011-04-03,28.52,16.98,2.18,72.03
2011-04-04,28.8,16.51,1.67,74.03
2011-04-05,28.9,16.57,2.57,72.12
2011-04-06,28.82,16.37,0.92,71.33
2011-04-07,29.63,16.74,0.56,65.99
2011-04-08,28.64,16.63,0.38,68.1
2011-04-09,30.69,16.08,0.25,63.67
2011-04-10,30.84,15.83,0.34,61.7
2011-04-11,29.95,16.43,2.79,64.95
2011-04-12,29.9,16.58,2.55,68.24
2011-04-13,29.91,17.12,3.31,68.95
2011-04-14,28.93,16.73,5.7,74.03
2011-04-15,27.17,17.29,11.28,79.86
2011-04-16,27.8,16.61,3.67,75.45
2011-04-17,28.21,16.37,1.77,72.3
2011-04-18,28.31,16.1,1.21,71.71
2011-04-19,28.36,16.49,1.18,73.7
2011-04-20,28.73,16.14,1.88,71.9
2011-04-21,29.88,15.91,0.88,68.87
2011-04-22,29.31,16.45,1.2,71.62
2011-04-23,29.25,16.75,5.57,73.58
2011-04-24,28.81,16.29,3.97,74.47
2011-04-25,28.58,16.46,5.87,76.55
2011-04-26,29.51,16.78,2.06,73.11
2011-04-27,29.15,16.88,4.33,74.99
2011-04-28,29.24,16.46,2.13,71.52
2011-04-29,28.26,16.9,1.68,68.48
2011-04-30,29.28,16.28,4.12,72.35
2011-05-01,29.8,16.58,3.36,69.98
2011-05-02,29.44,16.07,1.47,68.09
2011-05-03,29.34,16.77,7.38,68.59
2011-05-04,28.56,15.95,9.75,74.55
2011-05-05,27.69,15.98,9.62,77.93
2011-05-06,27.7,15.54,9.82,76.41
2011-05-07,27.29,15.99,3.9,78.69
2011-05-08,27.41,15.88,8.87,78.77
2011-05-09,27.32,16.07,3.41,78.52
2011-05-10,26.47,16.2,5.06,80.55
2011-05-11,28.08,16.13,1.13,75.3
2011-05-12,28.28,16.13,1.56,76.12
2011-05-13,27.19,16.21,0.93,75.08
2011-05-14,28.5,15.73,1.06,73.65
2011-05-15,28.22,15.85,0.91,75.12
2011-05-16,28.36,15.72,0.38,72.22
2011-05-17,26.48,16.1,0.94,76.18
2011-05-18,28.34,15.6,0.2,70.23
2011-05-19,27.93,16.36,1.72,73.6
2011-05-20,25.93,16.07,2.94,79.38
2011-05-21,26.73,15.32,2.17,76.89
2011-05-22,26.71,15.63,0.97,74.35
2011-05-23,28.27,14.86,1.11,71.3
2011-05-24,27.34,15.51,1.26,75.83
2011-05-25,27.92,16.07,0.66,70.42
2011-05-26,28.72,15.26,0.58,65.88
2011-05-27,29.12,15.2,0.74,65.62
2011-05-28,28.75,16.29,0.58,69.69
2011-05-29,28.58,15.32,0.3,68.72
2011-05-30,29.12,15.77,0.18,66.54
2011-05-31,28.49,15.71,0.85,69.06
2011-06-01,28.85,15.6,2.35,70.04
2011-06-02,26.79,15.22,2.91,72.2
2011-06-03,26.54,14.71,0.46,65.89
2011-06-04,27.59,15.28,0.93,68.38
2011-06-05,28.26,15.26,1.22,72.28
2011-06-06,27.01,15.67,1.52,74.48
2011-06-07,27.79,15.48,0.78,72.39
2011-06-08,28.56,15.49,0.34,69.21
2011-06-09,28.05,15.36,0.88,69.88
2011-06-10,24.58,16.33,5.98,80.68
2011-06-11,27.51,15.28,6.95,75.32
2011-06-12,24.52,15.55,9.14,80.3
2011-06-13,26.25,14.82,7.72,76.54
2011-06-14,25.42,15.77,10.18,82.04
2011-06-15,24.74,14.19,1.97,79.02
2011-06-16,27.45,13.57,0.34,69.97
2011-06-17,28.02,13.01,0.21,67.61
2011-06-18,26.83,13.9,0.49,71.27
2011-06-19,27.11,14.69,0.77,72.84
2011-06-20,25.62,14.64,1.19,73.6
2011-06-21,26.54,14.29,0.93,73.3
2011-06-22,25.64,13.81,0.96,72.97
2011-06-23,24.74,14.85,1.1,75.66
2011-06-24,24.24,14.85,2.24,79.14
2011-06-25,27.69,14.6,2.93,76.37
2011-06-26,25.35,16.09,3.93,81.7
2011-06-27,24.59,15.74,4.85,81.2
2011-06-28,25.86,14.79,2.88,77.77
2011-06-29,26.6,13.53,3.16,73.73
2011-06-30,26.47,13.73,3.19,66.54
2011-07-01,27.53,14.37,1.9,68.38
2011-07-02,27.55,15.39,2.35,74.14
2011-07-03,28.1,14.74,0.63,70.89
2011-07-04,27.13,15.05,0.93,71.81
2011-07-05,27.65,14.3,0.71,69.91
2011-07-06,28.44,13.36,0.69,66.37
2011-07-07,26.22,13.8,2.09,70.08
2011-07-08,26.21,13.05,0.55,64.99
2011-07-09,25.97,12.14,0.34,65.8
2011-07-10,25.99,12.65,0.7,66.04
2011-07-11,25.97,11.23,0.06,58.61
2011-07-12,27.47,11.07,0.23,58.69
2011-07-13,27.0,12.91,2.09,67.61
2011-07-14,26.18,13.73,0.71,72.09
2011-07-15,26.84,13.46,0.43,66.05
2011-07-16,27.56,13.54,0.07,63.28
2011-07-17,28.45,12.04,0.8,59.58
2011-07-18,27.96,13.43,1.42,63.49
2011-07-19,25.76,14.68,1.7,74.13
2011-07-20,25.17,14.39,3.77,75.04
2011-07-21,26.58,14.31,2.85,72.21
2011-07-22,24.17,14.11,3.75,72.66
2011-07-23,27.6,13.46,2.42,69.75
2011-07-24,24.62,14.87,5.56,77.16
2011-07-25,23.41,13.93,4.06,81.6
2011-07-26,25.28,14.98,1.8,78.44
2011-07-27,25.8,15.42,2.6,78.46
2011-07-28,26.96,15.36,3.03,76.84
2011-07-29,26.23,14.13,1.81,73.34
2011-07-30,26.83,13.24,1.11,65.24
2011-07-31,26.17,12.94,1.68,67.45
2011-08-01,25.88,13.96,1.22,71.55
2011-08-02,27.18,13.11,0.37,67.08
2011-08-03,27.08,12.94,0.38,67.56
2011-08-04,27.31,12.26,0.34,63.56
2011-08-05,26.64,13.75,1.76,73.89
2011-08-06,26.9,14.07,1.35,71.89
2011-08-07,25.15,14.4,2.78,72.72
2011-08-08,24.93,13.64,2.63,73.25
2011-08-09,24.24,14.83,5.82,77.47
2011-08-10,21.97,14.66,11.29,84.11
2011-08-11,21.57,14.91,21.08,85.32
2011-08-12,23.89,14.1,5.02,78.13
2011-08-13,22.86,13.48,9.86,81.01
2011-08-14,23.22,13.45,2.85,76.58
2011-08-15,22.81,14.51,2.95,81.39
2011-08-16,26.41,13.59,0.51,71.59
2011-08-17,26.35,13.39,0.37,69.56
2011-08-18,25.26,13.86,1.12,73.29
2011-08-19,26.95,12.75,0.26,67.46
2011-08-20,27.46,13.12,0.55,68.89
2011-08-21,26.5,13.82,0.32,70.48
2011-08-22,25.91,13.96,0.42,69.57
2011-08-23,26.67,14.04,0.1,69.89
2011-08-24,28.17,13.58,3.04,66.15
2011-08-25,27.07,13.97,4.79,72.6
2011-08-26,24.47,14.72,5.33,77.84
2011-08-27,25.85,14.39,7.6,74.78
2011-08-28,23.82,14.5,3.02,75.52
2011-08-29,26.06,13.89,1.87,68.4
2011-08-30,27.13,13.72,0.75,69.21
